time_ms,node_id,rssi_dbm,collided
4066,8,-49.23720914934826,False
4066,9,-63.6548145942005,False
4082,10,-65.6284263160874,False
4098,6,-51.5901142214492,False
4098,7,-14.6252619660141,False
4119,11,-52.84282551013513,False
4143,3,-17.283447100014683,False
4151,1,-66.72139026941323,False
4159,10,-65.6284263160874,False
4175,5,-31.894088462747455,False
4188,11,-52.84282551013513,False
4220,4,-29.25934819085409,False
4265,5,-31.894088462747455,False
4289,3,-17.283447100014683,False
4313,4,-29.25934819085409,False
4329,7,-14.6252619660141,False
4350,7,-14.6252619660141,False
4350,4,-29.25934819085409,False
4398,10,-65.6284263160874,False
4406,3,-17.283447100014683,False
4406,5,-31.894088462747455,False
4467,3,-17.283447100014683,False
4467,10,-65.6284263160874,False
4504,0,-51.50617211780494,False
4528,3,-17.283447100014683,True
4528,7,-14.6252619660141,True
4536,8,-49.23720914934826,False
4621,5,-31.894088462747455,False
4642,0,-51.50617211780494,False
4658,6,-51.5901142214492,False
4658,1,-66.72139026941323,False
4674,8,-49.23720914934826,False
4703,4,-29.25934819085409,False
4703,8,-49.23720914934826,False
4711,0,-51.50617211780494,False
4711,5,-31.894088462747455,False
4719,2,-57.08267569168619,False
4719,3,-17.283447100014683,False
4735,6,-51.5901142214492,False
4735,9,-63.6548145942005,False
4756,2,-57.08267569168619,False
4804,1,-66.72139026941323,False
4841,4,-29.25934819085409,False
4873,3,-17.283447100014683,False
4910,7,-14.6252619660141,False
4926,1,-66.72139026941323,False
4950,11,-52.84282551013513,False
4971,7,-14.6252619660141,False
4971,11,-52.84282551013513,False
4987,4,-29.25934819085409,False
4995,3,-17.283447100014683,False
4995,9,-63.6548145942005,False
5056,5,-31.894088462747455,True
5056,4,-29.25934819085409,True
5157,9,-63.6548145942005,False
5170,3,-17.283447100014683,False
5170,4,-29.25934819085409,False
5178,10,-65.6284263160874,False
5194,5,-31.894088462747455,False
5255,4,-29.25934819085409,False
5271,3,-17.283447100014683,False
5279,10,-65.6284263160874,False
5292,3,-17.283447100014683,False
5316,10,-65.6284263160874,False
5324,5,-31.894088462747455,False
5377,0,-51.50617211780494,True
5377,4,-29.25934819085409,True
5377,5,-31.894088462747455,True
5377,7,-14.6252619660141,False
5385,8,-49.23720914934826,False
5414,8,-49.23720914934826,False
5430,3,-17.283447100014683,False
5438,4,-29.25934819085409,False
5462,6,-51.5901142214492,False
5475,2,-57.08267569168619,True
5475,0,-51.50617211780494,True
5475,8,-49.23720914934826,True
5491,4,-29.25934819085409,False
5499,1,-66.72139026941323,False
5523,5,-31.894088462747455,False
5552,2,-57.08267569168619,False
5560,1,-66.72139026941323,False
5576,3,-17.283447100014683,False
5576,6,-51.5901142214492,False
5584,5,-31.894088462747455,False
5605,4,-29.25934819085409,False
5621,5,-31.894088462747455,False
5621,7,-14.6252619660141,False
5629,3,-17.283447100014683,False
5645,2,-57.08267569168619,False
5669,6,-51.5901142214492,False
5698,5,-31.894088462747455,False
5730,0,-51.50617211780494,False
5754,3,-17.283447100014683,False
5767,4,-29.25934819085409,False
5860,1,-66.72139026941323,False
5860,9,-63.6548145942005,False
5868,4,-29.25934819085409,False
5900,3,-17.283447100014683,False
5916,7,-14.6252619660141,False
5929,4,-29.25934819085409,False
5945,3,-17.283447100014683,False
5985,5,-31.894088462747455,False
5993,10,-65.6284263160874,False
6006,4,-29.25934819085409,False
6046,3,-17.283447100014683,False
6062,7,-14.6252619660141,False
6091,7,-14.6252619660141,False
6123,3,-17.283447100014683,False
6123,10,-65.6284263160874,False
6139,4,-29.25934819085409,False
6168,3,-17.283447100014683,False
6176,5,-31.894088462747455,False
6184,11,-52.84282551013513,False
6192,9,-63.6548145942005,False
6200,4,-29.25934819085409,False
6208,10,-65.6284263160874,False
6245,4,-29.25934819085409,False
6285,7,-14.6252619660141,False
6285,8,-49.23720914934826,False
6285,11,-52.84282551013513,False
6338,3,-17.283447100014683,False
6346,8,-49.23720914934826,False
6354,5,-31.894088462747455,True
6354,2,-57.08267569168619,True
6354,4,-29.25934819085409,True
6375,9,-63.6548145942005,False
6383,7,-14.6252619660141,False
6399,5,-31.894088462747455,False
6399,8,-49.23720914934826,False
6431,4,-29.25934819085409,False
6431,11,-52.84282551013513,False
6439,0,-51.50617211780494,False
6460,2,-57.08267569168619,False
6460,6,-51.5901142214492,False
6468,11,-52.84282551013513,False
6476,5,-31.894088462747455,False
6500,7,-14.6252619660141,False
6508,4,-29.25934819085409,False
6524,3,-17.283447100014683,False
6537,7,-14.6252619660141,False
6577,2,-57.08267569168619,False
6601,5,-31.894088462747455,False
6638,6,-51.5901142214492,False
6638,9,-63.6548145942005,False
6662,5,-31.894088462747455,False
